unique_id,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median,SeasonalNaive
M502,0.043825773799560236,0.03474054896690385,0.042877593352097454,0.038872314219700714,0.020560336735214107
M503,0.057901353763726265,0.07486741046508931,0.009327372862085377,0.012203486234643375,0.04378570045071164
M504,0.04492667625363388,0.052300205945144264,0.042085906393301176,0.04673741702417713,0.12959371761949742
M505,0.23318218844270153,0.20127163989298422,0.09729734649000116,0.15593400436813784,0.022339279192483238
M506,0.05411264214932496,0.061532912553489,0.05099604272953966,0.04793613595920465,0.036479328340532045
M507,0.051200987572223904,0.04589956083929863,0.03217041281804958,0.03494208297933712,0.01745183310269671
M508,0.04029869711578242,0.030073610586088557,0.021796141441530192,0.022022937352534546,0.020220466213291922
M509,0.028905837491459894,0.031051620880478765,0.019605304420430368,0.024522493529265738,0.022558470496590998
M51,0.05609706185937787,0.06773432173656403,0.06625985442893273,0.0666303643556647,0.11175950687103324
M510,0.07256981861136845,0.07224216573208148,0.04059695476727293,0.04635602048818436,0.07235775462336193
M511,0.0614125795986322,0.045778025103502484,0.020312020543044148,0.029303706328565965,0.03117394021417966
M512,0.02283367440312195,0.02980796655689244,0.025565776546180405,0.02660042474296997,0.035374287002341416
M513,0.03487948368535205,0.03530461773574379,0.02455373963952351,0.02675213133473645,0.044100052302193514
M514,0.03255720156443747,0.03835705482629649,0.02583736853578203,0.02699432435969946,0.038663231803817644
M515,0.04630358737723624,0.0431352693948328,0.03186861714209375,0.03202026631447047,0.12606604804463314
M516,0.08026581294064099,0.07676396055142887,0.09346750633060824,0.09372620519476003,0.15272796454013876
M517,0.010964419923829046,0.01193465343698794,0.011815987945069778,0.011302915371376785,0.009602180641632986
M518,0.023273871161122475,0.02313197485917962,0.02542367571359411,0.02743425223622668,0.04079628555086037
M519,0.012352360099939607,0.013630042778527278,0.012983954809167897,0.011636166235183877,0.031113831714262654
M52,0.05370955294987224,0.04111369105438958,0.03949907200149307,0.039131324210674806,0.10625187648471822
M520,0.04251834173016156,0.0470063581559347,0.04982959298250808,0.04291613378156558,0.046557593918324446
M521,0.02551508823323338,0.03010866265515244,0.018617990188385426,0.01680264763810386,0.0452927665062288
M522,0.027941462259620214,0.03444995083006054,0.019466965222130653,0.018276324213592304,0.043740680504706024
M523,0.012599627101081078,0.01961083250352243,0.021787788321688793,0.018524738221892524,0.050755224863441584
M524,0.05808636820757449,0.05537527094451419,0.031219546152824282,0.029334765342219377,0.11639007638415995
M525,0.02398441051018374,0.030388983976707338,0.017754552548639505,0.016792877155719983,0.019430774068458306
M526,0.07216096543562345,0.10343933239259186,0.034524589626413554,0.03209672629563918,0.03835906512956123
M527,0.012032130025970813,0.012178289830944192,0.014564754451947588,0.014696856351399999,0.022757203791184965
M528,0.01949116335015542,0.020356567954203177,0.01947542661127581,0.017893755024613513,0.02019670112405125
M529,0.05884113824215575,0.10082720893585322,0.02949331875091436,0.028477813206320857,0.028481081211189484
M53,0.03971175595242021,0.056948684049742036,0.050314519108695575,0.04723012053610349,0.0799208973338173
M530,0.016795315046409777,0.01841087677799096,0.021352462932706626,0.021529258264142478,0.028930192744115832
M531,0.009803269774223076,0.014758306148833542,0.00721933298335405,0.007008455553931504,0.028420249854075774
M532,0.045235405331406076,0.024849686063790444,0.015710411891302848,0.015308499116590045,0.11712045770444927
M533,0.17101883442435625,0.07306461376752066,0.04106331872882101,0.04174639236513044,0.04463706038043566
M534,0.1208900257565912,0.28798467062633165,0.05237193580437919,0.05106140610183522,0.311633598895474
